numsampled,36_1_Swab,36_2_Swab,36_3_Swab,36_4_Swab,36_5_Swab,36_6_Swab,36_AL_1,36_AL_2,36_AL_3,36_AL_4,36_AL_5,36_AL_6,36_AS_1,36_AS_2,36_AS_3,36_AS_4,36_AS_5,36_AS_6,36_VL_1,36_VL_2,36_VL_3,36_VL_4,36_VL_5,36_VL_6,36_VS_1,36_VS_2,36_VS_3,36_VS_4,36_VS_5,36_VS_6,38_1_Swab,38_2_Swab,38_3_Swab,38_4_Swab,38_5_Swab,38_6_Swab,38_AL_1,38_AL_2,38_AL_3,38_AL_4,38_AL_5,38_AL_6,38_AS_1,38_AS_2,38_AS_3,38_AS_4,38_AS_4_PCRNeg,38_AS_5,38_AS_6,38_VL_1,38_VL_2,38_VL_3,38_VL_4,38_VL_5,38_VL_6,38_VS_1,38_VS_2,38_VS_3,38_VS_4,38_VS_5,38_VS_6,41_1_Swab,41_2_Swab,41_3_Swab,41_4_Swab,41_5_Swab,41_6_Swab,41_AL_1,41_AL_2,41_AL_3,41_AL_4,41_AL_5,41_AL_6,41_AS_1,41_AS_2,41_AS_3,41_AS_4,41_AS_5,41_AS_6,41_VL_1,41_VL_2,41_VL_3,41_VL_4,41_VL_5,41_VL_6,41_VS_1,41_VS_2,41_VS_3,41_VS_4,41_VS_5,41_VS_6,43_1_Swab,43_2_Swab,43_3_Swab,43_4_Swab,43_5_Swab,43_6_Swab,43_AL_1,43_AL_2,43_AL_3,43_AL_4,43_AL_5,43_AL_6,43_AS_1,43_AS_2,43_AS_3,43_AS_4,43_AS_5,43_AS_6,43_VL_1,43_VL_2,43_VL_3,43_VL_4,43_VL_5,43_VL_6,43_VS_1,43_VS_2,43_VS_3,43_VS_4,43_VS_5,43_VS_6,48_1_Swab,48_2_Swab,48_3_Swab,48_4_Swab,48_5_Swab,48_6_Swab,48_AL_1,48_AL_2,48_AL_3,48_AL_4,48_AL_5,48_AL_6,48_AS_1,48_AS_2,48_AS_3,48_AS_4,48_AS_5,48_AS_6,48_VL_1,48_VL_2,48_VL_3,48_VL_4,48_VL_5,48_VL_6,48_VS_1,48_VS_2,48_VS_3,48_VS_4,48_VS_5,48_VS_6,53_1_Swab,53_2_Swab,53_3_Swab,53_4_Swab,53_5_Swab,53_6_Swab,53_AL_1,53_AL_2,53_AL_3,53_AL_4,53_AL_5,53_AL_6,53_AS_1,53_AS_2,53_AS_3,53_AS_4,53_AS_5,53_AS_6,53_VL_1,53_VL_2,53_VL_3,53_VL_4,53_VL_5,53_VL_6,53_VS_1,53_VS_2,53_VS_3,53_VS_4,53_VS_5,53_VS_6,59_1_Swab,59_2_Swab,59_3_Swab,59_4_Swab,59_5_Swab,59_6_Swab,59_AL_1,59_AL_2,59_AL_3,59_AL_4,59_AL_5,59_AL_6,59_AS_1,59_AS_2,59_AS_3,59_AS_4,59_AS_5,59_AS_6,59_VL_1,59_VL_2,59_VL_3,59_VL_4,59_VL_5,59_VL_6,59_VS_1,59_VS_2,59_VS_3,59_VS_4,59_VS_5,59_VS_6,69_1_Swab,69_2_Swab,69_3_Swab,69_4_Swab,69_5_Swab,69_6_Swab,69_AL_1,69_AL_2,69_AL_3,69_AL_4,69_AL_5,69_AL_6,69_AS_1,69_AS_2,69_AS_3,69_AS_4,69_AS_5,69_AS_6,69_VL_1,69_VL_2,69_VL_3,69_VL_4,69_VL_5,69_VL_6,69_VS_1,69_VS_2,69_VS_3,69_VS_4,69_VS_5,69_VS_6,LiquidExtNeg1,LiquidExtNeg2,LiquidPCRNeg1,SolidExtNeg1,SolidExtNeg2,SolidPCRNeg1,SwabExtNeg,SwabPCRNeg1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4.868,4.593,4.646,4.861,4.64,4.925,4.846,4.81,4.661,4.883,4.81,4.897,4.884,4.839,4.892,4.9,4.895,4.911,4.858,4.731,4.766,4.867,4.827,4.863,4.774,4.91,4.911,4.902,4.909,4.904,4.586,4.368,4.307,4.723,4.561,4.694,4.837,4.769,4.768,4.717,4.71,4.827,4.708,4.512,4.833,4.874,4.148,4.856,4.878,4.829,4.722,4.674,4.738,4.821,4.814,4.696,4.868,4.876,4.854,4.871,4.856,4.844,4.55,4.435,4.28,4.739,4.349,4.859,4.88,4.869,4.868,4.816,4.866,4.406,4.722,4.67,4.859,4.862,4.862,4.897,4.888,4.823,4.825,4.877,4.868,4.436,4.398,4.879,4.784,4.875,4.81,4.35,4.555,4.643,4.699,4.597,4.625,4.847,4.742,4.804,4.846,4.825,4.748,4.861,4.89,4.892,4.856,4.822,4.869,4.84,4.709,4.824,4.862,4.788,4.797,4.849,4.9,4.869,4.869,4.879,4.846,4.884,4.544,4.371,4.912,4.925,4.475,4.857,4.88,4.894,4.862,4.848,4.87,4.603,4.888,4.864,4.777,4.818,4.818,4.88,4.91,4.898,4.815,4.886,4.869,4.63,4.816,4.858,4.848,4.83,4.814,4.944,4.565,4.289,4.934,4.894,3.304,4.89,4.9,4.827,4.861,4.87,4.877,4.883,4.914,4.923,4.907,4.911,4.873,4.909,4.865,4.768,4.91,4.81,4.861,4.864,4.911,4.92,4.9,4.91,4.908,4.916,4.889,4.507,4.91,4.501,4.689,4.843,4.901,4.799,4.793,4.771,4.84,4.858,4.843,4.838,4.856,4.874,4.839,4.838,4.891,4.719,4.832,4.815,4.883,4.848,4.852,4.878,4.828,4.849,4.856,4.851,4.874,4.468,4.897,4.462,4.792,4.805,4.8,4.725,4.797,4.757,4.785,4.822,4.745,4.835,4.826,4.839,4.781,4.772,4.806,4.578,4.727,4.801,4.772,4.699,4.752,4.827,4.833,4.839,4.822,4.904,4.924,4.553,5,5,5,5,3
6,5.803,5.405,5.477,5.807,5.455,5.882,5.767,5.716,5.522,5.818,5.734,5.845,5.834,5.75,5.84,5.858,5.84,5.862,5.798,5.606,5.64,5.79,5.737,5.804,5.666,5.866,5.867,5.858,5.867,5.87,5.409,5.064,5.044,5.601,5.338,5.568,5.745,5.679,5.653,5.6,5.608,5.731,5.582,5.325,5.744,5.803,4.766,5.781,5.824,5.757,5.614,5.516,5.61,5.722,5.72,5.558,5.808,5.79,5.785,5.821,5.802,5.745,5.375,5.178,4.947,5.636,5.058,5.794,5.823,5.809,5.787,5.738,5.808,5.179,5.601,5.528,5.808,5.808,5.809,5.846,5.836,5.745,5.746,5.823,5.812,5.181,5.158,5.82,5.701,5.812,5.714,5.08,5.363,5.464,5.565,5.393,5.465,5.775,5.632,5.731,5.777,5.732,5.642,5.795,5.839,5.845,5.786,5.752,5.784,5.778,5.593,5.75,5.79,5.69,5.698,5.789,5.847,5.811,5.809,5.815,5.79,5.829,5.33,5.071,5.874,5.879,5.258,5.79,5.825,5.847,5.801,5.781,5.805,5.411,5.831,5.804,5.681,5.735,5.738,5.83,5.854,5.844,5.732,5.828,5.8,5.468,5.73,5.794,5.785,5.759,5.721,5.926,5.369,4.962,5.897,5.853,3.646,5.826,5.845,5.729,5.799,5.807,5.826,5.843,5.87,5.889,5.857,5.871,5.815,5.861,5.779,5.653,5.848,5.698,5.784,5.803,5.852,5.886,5.85,5.869,5.862,5.881,5.828,5.298,5.864,5.252,5.556,5.763,5.851,5.7,5.687,5.685,5.779,5.798,5.753,5.765,5.798,5.808,5.766,5.768,5.837,5.603,5.759,5.74,5.817,5.785,5.779,5.82,5.743,5.77,5.793,5.789,5.818,5.232,5.824,5.215,5.712,5.699,5.706,5.62,5.683,5.658,5.694,5.736,5.627,5.73,5.76,5.752,5.682,5.657,5.718,5.399,5.606,5.73,5.674,5.552,5.655,5.742,5.762,5.764,5.736,5.856,5.887,5.326,6,6,6,NA,NA
7,6.739,6.213,6.289,6.735,6.261,6.84,6.707,6.607,6.339,6.755,6.636,6.772,6.756,6.665,6.8,6.796,6.795,6.807,6.733,6.454,6.498,6.707,6.641,6.732,6.544,6.81,6.819,6.805,6.814,6.807,6.21,5.708,5.732,6.441,6.107,6.395,6.654,6.564,6.528,6.467,6.465,6.629,6.431,6.097,6.677,6.73,5.332,6.709,6.757,6.665,6.496,6.355,6.472,6.616,6.613,6.397,6.734,6.721,6.702,6.753,6.728,6.649,6.185,5.9,5.608,6.493,5.745,6.705,6.762,6.727,6.705,6.643,6.748,5.934,6.447,6.356,6.744,6.744,6.721,6.781,6.767,6.673,6.646,6.739,6.736,5.948,5.898,6.747,6.58,6.725,6.606,5.788,6.143,6.288,6.415,6.187,6.274,6.706,6.505,6.619,6.688,6.645,6.525,6.733,6.77,6.773,6.711,6.675,6.704,6.69,6.451,6.654,6.714,6.566,6.58,6.711,6.782,6.737,6.737,6.747,6.712,6.752,6.106,5.735,6.825,6.828,6,6.709,6.765,6.803,6.739,6.68,6.714,6.213,6.765,6.724,6.559,6.635,6.637,6.763,6.785,6.781,6.646,6.748,6.718,6.264,6.619,6.713,6.713,6.657,6.63,6.887,6.119,5.612,6.856,6.776,3.943,6.77,6.781,6.624,6.735,6.753,6.75,6.781,6.812,6.853,6.802,6.816,6.752,6.806,6.719,6.52,6.792,6.59,6.703,6.721,6.802,6.832,6.796,6.81,6.811,6.824,6.768,6.069,6.798,5.971,6.37,6.674,6.776,6.591,6.582,6.56,6.675,6.718,6.64,6.684,6.729,6.725,6.682,6.674,6.773,6.452,6.662,6.649,6.742,6.679,6.689,6.755,6.655,6.669,6.721,6.709,6.755,5.969,6.755,5.934,6.606,6.571,6.605,6.498,6.561,6.542,6.562,6.617,6.504,6.644,6.669,6.66,6.555,6.52,6.62,6.185,6.471,6.606,6.552,6.396,6.53,6.658,6.688,6.672,6.634,6.8,6.839,6.108,7,NA,NA,NA,NA
13,12.068,10.336,10.717,12.079,10.434,12.418,12.045,11.696,11.051,12.098,11.781,12.22,12.158,11.877,12.335,12.287,12.35,12.256,12.123,11.314,11.401,12.057,11.758,12.064,11.553,12.367,12.378,12.331,12.328,12.312,10.778,9.102,9.102,11.324,10.17,11.114,11.845,11.578,11.539,11.382,11.317,11.77,11.301,10.477,11.929,12.089,8,12.051,12.102,11.83,11.543,11.126,11.307,11.766,11.797,11.163,12.081,12.041,11.948,12.171,12.065,11.873,10.685,9.586,8.916,11.443,9.241,12.056,12.17,12.038,12.021,11.889,12.113,10.052,11.323,10.977,12.147,12.124,12.035,12.205,12.156,11.933,11.849,12.109,12.043,10.169,10.128,12.133,11.658,12.043,11.777,9.558,10.298,10.698,11.093,10.318,10.682,12.012,11.381,11.818,11.928,11.738,11.571,12.088,12.231,12.213,12.044,11.957,12.014,11.991,11.313,11.779,11.986,11.666,11.703,11.953,12.238,12.147,12.092,12.097,11.997,12.143,10.227,9.278,12.339,12.414,10.355,12.062,12.221,12.316,12.055,11.85,11.994,10.807,12.158,12.081,11.556,11.764,11.755,12.163,12.321,12.251,11.84,12.154,11.99,10.835,11.712,12.01,11.974,11.707,11.637,12.547,10.194,8.952,12.514,12.213,5.181,12.211,12.247,11.801,12.118,12.075,12.07,12.221,12.373,12.364,12.292,12.354,12.131,12.285,12.076,11.392,12.274,11.634,12.008,12.135,12.324,12.403,12.225,12.301,12.312,12.318,12.145,10.151,12.281,9.793,10.966,11.974,12.194,11.651,11.539,11.593,11.88,12.003,11.773,11.995,12.083,11.989,11.909,11.848,12.183,11.328,11.867,11.779,12.093,11.89,11.904,12.207,11.904,11.94,12.091,12.019,12.15,9.759,12.197,9.751,11.687,11.553,11.646,11.442,11.545,11.444,11.546,11.665,11.502,11.793,11.864,11.81,11.549,11.455,11.706,10.414,11.219,11.586,11.517,11.084,11.4,11.845,11.945,11.888,11.799,12.261,12.437,10.226,NA,NA,NA,NA,NA
19,17.034,13.722,14.395,17.15,13.906,17.78,17.09,16.373,15.446,17.114,16.585,17.395,17.248,16.784,17.597,17.561,17.67,17.383,17.187,15.857,15.978,17.05,16.554,17.115,16.265,17.708,17.74,17.582,17.555,17.595,15.029,11.836,11.935,15.884,13.512,15.42,16.7,16.263,16.228,15.985,15.886,16.509,15.785,14.504,16.817,17.192,NA,17.105,17.167,16.731,16.197,15.474,15.766,16.617,16.666,15.582,17.117,17.073,16.988,17.315,17.088,16.789,14.843,12.521,11.624,16.126,12.176,17.051,17.324,17.031,16.997,16.767,17.205,13.919,15.829,15.192,17.2,17.113,16.965,17.336,17.26,16.895,16.615,17.195,17.033,14.085,14.022,17.193,16.328,17.054,16.541,12.822,13.799,14.472,15.235,13.839,14.55,17.044,15.856,16.699,16.861,16.571,16.209,17.141,17.425,17.353,17.051,16.885,17,16.937,15.704,16.611,17.015,16.397,16.394,16.925,17.39,17.23,17.217,17.205,16.99,17.196,13.675,12.168,17.603,17.813,14.463,17.044,17.412,17.585,17.089,16.667,16.921,15.024,17.222,17.113,16.175,16.585,16.475,17.235,17.523,17.473,16.703,17.261,16.952,14.997,16.511,17.004,16.96,16.447,16.288,18.056,13.651,11.696,17.986,17.42,6.075,17.359,17.448,16.607,17.214,17.05,17.11,17.358,17.678,17.623,17.552,17.622,17.173,17.489,17.108,15.862,17.45,16.328,16.944,17.169,17.559,17.734,17.383,17.55,17.53,17.493,17.251,13.724,17.539,12.923,15.168,17.003,17.335,16.335,16.197,16.262,16.759,16.962,16.524,17.014,17.07,16.946,16.888,16.728,17.312,15.748,16.73,16.608,17.087,16.697,16.777,17.276,16.873,16.822,17.142,16.961,17.254,13.031,17.33,12.93,16.446,16.034,16.225,16,16.041,16.002,16.11,16.245,16.044,16.582,16.692,16.621,16.101,15.865,16.336,14.223,15.539,16.151,16.031,15.308,15.8,16.559,16.855,16.689,16.653,17.43,17.834,14,NA,NA,NA,NA,NA
53,41.373,26.968,28.611,42.325,28.085,45.116,42.48,39.102,37.338,41.872,40.375,43.162,42.854,41.754,44.258,44.206,44.401,43.222,42.781,38.097,38.067,42.03,40.099,41.814,40.241,44.734,44.843,44.217,43.956,44.092,36.611,22.685,22.931,39.045,26.963,36.656,40.892,40.068,39.94,38.896,38.17,39.838,38.415,34.936,41.276,42.861,NA,42.285,42.426,40.698,39.529,37.106,38.231,40.546,40.66,37.757,41.902,42.456,41.951,42.997,42.214,41.354,35.96,23.837,22.745,39.706,24.228,41.511,43.004,42.24,42.482,40.755,42.768,33.274,38.491,36.127,41.985,41.947,41.408,42.968,42.513,41.252,40.322,42.157,41.739,33.896,33.86,42.238,38.788,41.878,39.363,27.719,27.505,30.045,32.473,28.354,31.123,41.98,37.97,40.659,41.429,40.537,38.891,42.121,43.194,42.883,41.583,41.247,41.539,41.341,37.242,40.21,42.141,39.625,39.454,41.487,43.065,42.861,42.329,42.508,41.458,42.176,27.926,23.663,44.051,45.381,35.094,41.683,43.495,44.55,42.038,40.524,40.833,35.509,42.406,42.352,38.454,40.045,38.977,42.27,43.787,44.135,41.053,42.802,41.16,35.179,39.711,41.526,41.943,39.185,38.369,46.241,28.638,22.993,45.843,43.059,9.752,42.973,43.028,40.074,42.383,41.313,41.744,42.686,44.2,43.852,43.624,43.751,41.877,43.703,42.172,37.686,43.094,38.776,41.183,41.793,43.972,44.344,42.956,43.384,43.282,43.185,42.516,28.9,43.783,25.699,35.115,42.146,43.078,39.31,38.771,38.338,40.36,41.727,39.887,41.345,41.922,40.916,41.011,40.659,42.952,38.209,40.688,40.441,41.84,40.135,40.499,42.42,40.961,40.917,42.199,41.134,41.755,27.347,42.158,25.66,39.552,37.035,38.115,37.651,37.469,37.794,37.695,37.242,37.037,39.35,39.339,39.223,37.512,36.897,38.366,32.376,36.053,38.168,37.524,34.794,36.052,38.734,40.125,39.733,39.213,42,45.867,NA,NA,NA,NA,NA,NA
69,51.167,31.596,33.227,52.785,33.013,56.642,53.104,48.51,46.608,52.118,50.304,53.923,53.419,52.15,55.406,55.203,55.712,53.87,53.456,47.439,47.142,52.502,50.024,52.06,50.534,56.014,56.143,55.246,54.835,55.056,45.838,26.64,26.782,48.834,31.775,45.784,51.045,50.29,49.765,48.536,47.34,49.551,48.048,43.539,51.658,53.607,NA,53.034,52.849,50.649,49.294,45.92,47.625,50.556,50.665,47.174,52.405,53.198,52.338,53.59,52.656,51.698,45.045,27.908,26.852,49.771,28.75,51.47,53.603,52.881,53.247,50.913,53.415,41.304,47.907,44.867,52.257,52.283,51.321,53.389,53.108,51.647,50.226,52.627,52.054,42.124,42.201,52.679,48.112,52.114,48.938,33.564,32.026,35.526,38.659,33.664,37.182,52.461,47.08,50.68,51.631,50.574,48.268,52.493,53.901,53.564,51.732,51.24,51.756,51.477,46.201,49.883,52.579,49.281,49.081,51.532,53.713,53.556,52.815,53.018,51.618,52.412,33.053,27.761,55.155,57.007,43.883,51.952,54.549,55.965,52.595,50.348,50.571,44.216,52.762,52.922,47.531,49.696,48.194,52.616,54.841,55.549,51.217,53.457,51.081,43.543,49.483,51.694,52.31,48.536,47.54,58.228,34.528,27.101,57.531,53.619,11.295,53.605,53.56,49.929,52.692,51.141,51.788,53.118,55.276,54.629,54.468,54.593,52.068,54.652,52.518,46.684,53.69,48.069,51.28,51.875,54.87,55.487,53.507,54.078,53.846,53.605,52.972,34.815,54.778,30.374,43.266,52.651,54.003,48.733,48.061,47.428,49.949,51.987,49.589,51.437,52.272,50.717,51.052,50.684,53.68,47.686,50.771,50.352,52.041,49.795,50.327,52.831,50.985,50.879,52.58,50.794,51.549,32.967,52.087,30.426,48.94,45.308,46.848,46.628,46.131,46.765,46.374,45.541,45.482,48.271,48.206,48.073,45.823,45.348,47.057,39.854,44.443,47.188,46.08,42.529,44.021,47.508,49.41,48.953,48.212,NA,58,NA,NA,NA,NA,NA,NA
100,68.554,39.026,40.601,71.506,41.037,77.34,72.145,65.308,63.169,70.446,67.949,73.303,72.309,71.07,75.453,75.103,75.738,73.14,72.422,64.116,63.689,71.406,67.588,70.275,68.718,76.093,76.477,75.053,74.157,74.771,62.669,33.16,33.39,66.734,39.885,62.257,69.099,68.451,67.558,65.834,63.628,66.667,65.192,58.87,70.171,72.991,NA,72.053,71.53,68.471,66.751,61.705,64.576,68.373,68.332,64.204,71.155,72.336,71.027,72.609,71.351,70.381,61.461,34.538,33.971,67.922,36.837,69.413,72.513,72.012,72.427,68.944,72.52,55.826,65.144,60.595,70.415,70.679,69.005,71.556,71.907,70.415,67.9,71.484,70.427,56.97,57.247,71.156,64.701,70.427,65.835,43.898,39.477,44.694,49.023,42.387,47.49,71.22,63.28,68.609,69.946,68.693,64.811,70.812,72.844,72.496,69.779,69.037,69.682,69.541,62.13,67.171,71.502,66.315,66.362,69.38,72.771,72.591,71.489,71.867,69.49,70.578,41.615,34.553,74.979,77.971,59.603,70.142,74.368,76.637,71.489,68.041,68.031,59.545,71.197,71.82,63.996,66.874,64.387,71.011,74.684,76.317,69.627,72.601,68.794,58.307,66.856,69.968,70.686,65.207,63.64,79.512,45.011,34.238,78.575,72.559,14.154,72.431,71.999,67.449,71.136,68.723,69.7,71.673,74.933,73.606,73.582,73.624,69.941,74.053,70.674,62.719,72.501,64.696,68.893,69.752,74.287,74.994,71.977,72.894,72.618,71.991,71.678,45.039,74.631,38.344,57.607,71.359,73.444,65.521,65.059,63.702,67.352,70.304,67.144,69.314,70.763,68.041,68.667,68.84,72.621,64.875,68.821,68.097,70.249,67.117,67.941,71.679,68.852,68.718,71.028,67.374,68.45,42.884,69.27,38.22,65.384,59.449,62.219,62.416,61.339,62.463,61.667,59.905,59.957,63.82,63.44,63.595,60.392,60.161,62.097,53.223,59.284,62.933,61.1,55.807,58.001,62.806,65.305,64.811,63.843,NA,NA,NA,NA,NA,NA,NA,NA
150,93.289,48.897,49.834,98.716,51.814,107.316,100.143,89.789,87.521,96.786,93.659,101.653,99.662,98.212,104.483,103.627,104.602,100.535,99.91,88.015,87.552,99.042,93.3,96.922,95.335,104.948,105.72,103.579,101.898,103.187,87.065,41.654,41.959,93.244,50.731,86.219,95.008,94.901,93.288,90.67,87.225,91.236,90.198,81.198,97.304,101.134,NA,99.161,98.195,93.866,92.391,84.523,89.197,93.939,93.987,88.956,98.129,99.985,97.973,99.93,98.269,97.687,85.47,43.313,43.513,94.595,48.189,94.864,99.911,99.74,99.968,94.82,100.029,76.831,90.071,83.386,96.57,97.107,94.363,97,98.897,97.506,93.601,98.633,96.814,78.504,79.342,98.09,88.737,96.85,90.571,58.189,49.179,56.765,62.933,54.061,61.261,98.274,86.714,94.384,96.277,94.86,88.625,97.416,100.29,99.606,95.768,94.596,95.438,95.543,85.235,91.943,98.763,91.074,91.107,94.877,100.438,99.93,98.326,98.571,94.822,96.883,53.071,43.7,103.949,107.859,82.064,96.65,102.997,106.739,98.934,93.463,92.729,81.852,97.606,99.183,87.963,91.848,87.92,97.167,103.454,106.309,96.435,100.221,93.968,79.554,92.112,96.074,96.939,89.242,86.942,110.211,60.355,43.87,108.798,99.566,18.433,99.553,98.363,92.839,97.825,93.681,95.616,98.178,103.284,100.852,101.144,100.584,95.289,101.642,96.499,86.163,99.341,88.787,94.086,95.442,102.546,102.803,98.343,99.613,99.022,97.423,98.881,59.469,103.227,48.554,78.181,98.437,101.635,89.76,89.824,87.392,92.281,97.134,92.598,95.234,97.431,93.205,94.186,95.03,100.064,89.9,95.073,93.683,96.458,92.43,93.517,98.72,94.447,94.439,97.821,90.536,92.032,57.024,93.125,48.995,88.188,79.409,83.196,84.779,82.96,84.53,82.916,79.723,79.992,85.158,84.199,84.812,80.614,80.692,82.785,71.978,80.234,84.822,81.778,74.228,77.25,83.786,86.886,86.862,85.367,NA,NA,NA,NA,NA,NA,NA,NA
