group,nseqs,sobs,coverage
36_1_Swab,6146,882,0.943541
36_2_Swab,10138,349,0.986881
36_3_Swab,13721,382,0.990161
36_4_Swab,8022,1095,0.945649
36_5_Swab,8759,384,0.982646
36_6_Swab,7864,1106,0.953204
36_AL_1,11132,1177,0.964068
36_AL_2,12951,1126,0.971894
36_AL_3,11305,1135,0.963025
36_AL_4,9274,1030,0.962799
36_AL_5,9232,1057,0.958297
36_AL_6,8803,1079,0.95831
36_AS_1,12767,1118,0.973369
36_AS_2,13086,1174,0.972413
36_AS_3,15491,1210,0.978504
36_AS_4,9618,1074,0.96309
36_AS_5,11829,1145,0.970834
36_AS_6,12129,1091,0.975266
36_VL_1,13462,1176,0.973852
36_VL_2,15786,1179,0.976815
36_VL_3,16756,1236,0.976367
36_VL_4,14129,1304,0.97261
36_VL_5,18237,1334,0.978725
36_VL_6,8277,1024,0.95566
36_VS_1,17403,1250,0.980233
36_VS_2,15015,1231,0.977889
36_VS_3,15174,1223,0.978845
36_VS_4,8231,992,0.961973
36_VS_5,9360,1044,0.964209
36_VS_6,9231,1055,0.962626
38_1_Swab,15208,1249,0.973632
38_2_Swab,10382,277,0.990272
38_3_Swab,11472,330,0.987884
38_4_Swab,16527,1366,0.97495
38_5_Swab,8161,463,0.973165
38_6_Swab,7493,993,0.945282
38_AL_1,20796,1381,0.978938
38_AL_2,12517,1173,0.969881
38_AL_3,11814,1177,0.966057
38_AL_4,10319,1054,0.965888
38_AL_5,12126,1112,0.96792
38_AL_6,13114,1136,0.96988
38_AS_1,12277,1073,0.974261
38_AS_2,13782,1012,0.97874
38_AS_3,11109,1083,0.970654
38_AS_4,23960,1440,0.985559
38_AS_4_PCRNeg,13,8,0.615385
38_AS_5,9903,1034,0.966172
38_AS_6,10746,1054,0.968267
38_VL_1,13829,1199,0.970424
38_VL_2,19138,1399,0.9768
38_VL_3,13906,1152,0.971523
38_VL_4,13506,1215,0.969791
38_VL_5,13177,1194,0.968506
38_VL_6,11999,1134,0.966914
38_VS_1,14223,1175,0.973775
38_VS_2,13123,1152,0.974853
38_VS_3,12498,1143,0.970155
38_VS_4,6517,875,0.949517
38_VS_5,7969,962,0.957711
38_VS_6,8110,970,0.958816
41_1_Swab,11772,1196,0.966955
41_2_Swab,11801,1107,0.96907
41_3_Swab,7396,284,0.983775
41_4_Swab,11280,433,0.981383
41_5_Swab,11130,1176,0.966667
41_6_Swab,5996,412,0.966311
41_AL_1,14413,1167,0.9719
41_AL_2,13873,1177,0.97232
41_AL_3,13802,1229,0.971526
41_AL_4,11768,1222,0.9638
41_AL_5,11592,1058,0.969807
41_AL_6,10333,1082,0.96245
41_AS_1,9423,875,0.968269
41_AS_2,9527,1022,0.962003
41_AS_3,7767,877,0.958028
41_AS_4,8598,924,0.964876
41_AS_5,7506,923,0.959899
41_AS_6,6157,795,0.952899
41_VL_1,150,97,0.526667
41_VL_2,19357,1327,0.980834
41_VL_3,17534,1291,0.97713
41_VL_4,14635,1196,0.973078
41_VL_5,16156,1238,0.977903
41_VL_6,8865,977,0.961196
41_VS_1,9858,948,0.966423
41_VS_2,10475,965,0.967542
41_VS_3,11773,1077,0.969931
41_VS_4,8725,916,0.966304
41_VS_5,8225,941,0.960851
41_VS_6,3959,653,0.937863
43_1_Swab,3619,452,0.931749
43_2_Swab,13274,403,0.988624
43_3_Swab,8068,465,0.970997
43_4_Swab,9372,546,0.975245
43_5_Swab,9550,472,0.976649
43_6_Swab,5024,401,0.962978
43_AL_1,19529,1314,0.98131
43_AL_2,19356,1254,0.980161
43_AL_3,18581,1312,0.979226
43_AL_4,21706,1393,0.980835
43_AL_5,9429,1057,0.959062
43_AL_6,12515,1066,0.971474
43_AS_1,9714,983,0.968499
43_AS_2,13231,1133,0.975134
43_AS_3,11599,1042,0.974222
43_AS_4,10579,998,0.971453
43_AS_5,8457,887,0.966182
43_AS_6,6165,802,0.953447
43_VL_1,8474,959,0.960349
43_VL_2,14251,1099,0.972423
43_VL_3,10574,1014,0.968697
43_VL_4,7673,966,0.955819
43_VL_5,8924,939,0.961564
43_VL_6,18530,1278,0.978305
43_VS_1,11572,994,0.976754
43_VS_2,11400,1072,0.972105
43_VS_3,10437,997,0.972214
43_VS_4,10747,1040,0.97255
43_VS_5,9596,981,0.968424
43_VS_6,7905,878,0.962935
48_1_Swab,17536,1285,0.976391
48_2_Swab,10868,463,0.981045
48_3_Swab,13608,387,0.98883
48_4_Swab,15372,1325,0.973979
48_5_Swab,9048,1139,0.959107
48_6_Swab,7011,852,0.952503
48_AL_1,20028,1308,0.979529
48_AL_2,25172,1464,0.984507
48_AL_3,19705,1453,0.978686
48_AL_4,22679,1408,0.98223
48_AL_5,19663,1287,0.980166
48_AL_6,25998,1376,0.984883
48_AS_1,10637,922,0.972737
48_AS_2,15010,1123,0.98028
48_AS_3,10245,1012,0.970425
48_AS_4,10514,962,0.969279
48_AS_5,10448,952,0.971861
48_AS_6,9442,870,0.970028
48_VL_1,39335,1606,0.98945
48_VL_2,29883,1543,0.986447
48_VL_3,21371,1491,0.980207
48_VL_4,23554,1433,0.982254
48_VL_5,24454,1456,0.982661
48_VL_6,17437,1221,0.976257
48_VS_1,13129,955,0.975703
48_VS_2,14624,1115,0.976409
48_VS_3,11666,1068,0.970598
48_VS_4,9483,941,0.966888
48_VS_5,12209,992,0.973298
48_VS_6,10135,936,0.96961
53_1_Swab,11037,1284,0.960315
53_2_Swab,10689,861,0.964917
53_3_Swab,10843,365,0.985152
53_4_Swab,19775,1422,0.980278
53_5_Swab,14125,1223,0.973097
53_6_Swab,7615,287,0.978726
53_AL_1,17817,1284,0.978448
53_AL_2,20321,1311,0.982186
53_AL_3,16292,1269,0.974527
53_AL_4,14856,1208,0.975498
53_AL_5,13618,1125,0.973932
53_AL_6,17343,1277,0.97734
53_AS_1,214655,2257,0.998453
53_AS_2,16024,1239,0.977534
53_AS_3,18622,1236,0.982923
53_AS_4,18698,1234,0.983153
53_AS_5,16588,1181,0.979986
53_AS_6,13448,1065,0.976056
53_VL_1,17031,1260,0.977453
53_VL_2,18173,1278,0.9792
53_VL_3,15902,1192,0.975789
53_VL_4,12536,1188,0.968092
53_VL_5,15976,1169,0.975526
53_VL_6,14521,1160,0.97328
53_VS_1,16059,1153,0.981381
53_VS_2,21653,1346,0.985221
53_VS_3,12759,1104,0.974136
53_VS_4,13531,1059,0.978494
53_VS_5,15084,1101,0.980642
53_VS_6,9034,950,0.967678
59_1_Swab,576,240,0.756944
59_2_Swab,7655,1020,0.951796
59_3_Swab,10070,699,0.967329
59_4_Swab,8808,1088,0.957652
59_5_Swab,7813,338,0.980161
59_6_Swab,2684,522,0.889344
59_AL_1,15667,1244,0.976511
59_AL_2,21217,1444,0.980487
59_AL_3,11519,1100,0.967792
59_AL_4,16163,1279,0.975128
59_AL_5,13140,1120,0.973364
59_AL_6,11287,1017,0.968016
59_AS_1,6654,861,0.955515
59_AS_2,7320,865,0.960246
59_AS_3,8024,918,0.963609
59_AS_4,9404,950,0.968418
59_AS_5,6769,805,0.959078
59_AS_6,6924,859,0.956384
59_VL_1,20395,1372,0.980485
59_VL_2,18282,1262,0.981512
59_VL_3,15957,1241,0.975121
59_VL_4,12946,1141,0.972115
59_VL_5,15904,1237,0.975101
59_VL_6,9615,993,0.964951
59_VS_1,23405,1341,0.985687
59_VS_2,12399,1085,0.974111
59_VS_3,12233,1101,0.974822
59_VS_4,9981,986,0.965535
59_VS_5,8312,918,0.961381
59_VS_6,7255,877,0.960028
69_1_Swab,7292,697,0.968459
69_2_Swab,9912,767,0.976695
69_3_Swab,9727,676,0.96741
69_4_Swab,10861,789,0.977811
69_5_Swab,8488,399,0.979265
69_6_Swab,5583,662,0.952893
69_AL_1,11693,755,0.978278
69_AL_2,16364,892,0.983561
69_AL_3,10894,865,0.972829
69_AL_4,11385,813,0.977251
69_AL_5,11965,848,0.975763
69_AL_6,12063,795,0.978861
69_AS_1,9621,618,0.980459
69_AS_2,12786,730,0.98209
69_AS_3,10739,713,0.978676
69_AS_4,12967,725,0.984191
69_AS_5,11744,745,0.98016
69_AS_6,11518,726,0.978903
69_VL_1,14158,833,0.980576
